Step,Atom_i,Atom_j,Element_i,Element_j,Bond_type,Distance_A
4000,1,2,H,C,C-H,1.1136210576313652
4000,2,3,C,O,C-O,1.2424181341239346
4000,2,4,C,O,C-O,1.3575669154778336
4000,4,5,O,H,O-H,1.0142781521850888
4000,6,7,H,O,O-H,1.020548548575716
4000,7,8,O,C,C-O,1.2670484363275132
4000,8,9,C,O,C-O,1.2075368731430112
4000,8,10,C,H,C-H,1.122109268297879
4100,1,2,H,C,C-H,1.1281219304667363
4100,2,3,C,O,C-O,1.2454514442562583
4100,2,4,C,O,C-O,1.3559619684932176
4100,4,5,O,H,O-H,1.014824975057276
4100,6,7,H,O,O-H,1.046203407564704
4100,7,8,O,C,C-O,1.282028162717186
4100,8,9,C,O,C-O,1.2264739785254308
4100,8,10,C,H,C-H,1.1252853193746026
4200,1,2,H,C,C-H,1.1062203216357944
4200,2,3,C,O,C-O,1.2387417729292887
4200,2,4,C,O,C-O,1.3390656817348443
4200,4,5,O,H,O-H,1.0035754281567473
4200,6,7,H,O,O-H,1.0182355424949583
4200,7,8,O,C,C-O,1.3123748587960689
4200,8,9,C,O,C-O,1.2227375065810335
4200,8,10,C,H,C-H,1.122281475388415
4300,1,2,H,C,C-H,1.1326535127743158
4300,2,3,C,O,C-O,1.262362039986945
4300,2,4,C,O,C-O,1.3036042535984613
4300,4,5,O,H,O-H,1.0160623848957298
4300,6,7,H,O,O-H,0.9987566119931315
4300,7,8,O,C,C-O,1.3133750797087624
4300,8,9,C,O,C-O,1.2522065564434637
4300,8,10,C,H,C-H,1.1234423394193414
4400,1,2,H,C,C-H,1.1134196917604773
4400,2,3,C,O,C-O,1.2349238235616
4400,2,4,C,O,C-O,1.2983041323203126
4400,4,5,O,H,O-H,1.0786296630447363
4400,6,7,H,O,O-H,1.1096950436944377
4400,7,8,O,C,C-O,1.3217547162768128
4400,8,9,C,O,C-O,1.2431502644491543
4400,8,10,C,H,C-H,1.1136847219927184
4500,1,2,H,C,C-H,1.116788314766948
4500,2,3,C,O,C-O,1.252544230755943
4500,2,4,C,O,C-O,1.2906654291488555
4500,4,5,O,H,O-H,1.0645301498783386
4500,6,7,H,O,O-H,1.0746117996746534
4500,7,8,O,C,C-O,1.328738672576364
4500,8,9,C,O,C-O,1.2513097698012257
4500,8,10,C,H,C-H,1.1347417062926703
4600,1,2,H,C,C-H,1.1350300172242145
4600,2,3,C,O,C-O,1.2287566968281414
4600,2,4,C,O,C-O,1.3130871600925802
4600,4,5,O,H,O-H,0.9805283065776332
4600,6,7,H,O,O-H,0.9871097912593094
4600,7,8,O,C,C-O,1.3580610995091484
4600,8,9,C,O,C-O,1.2364658547651035
4600,8,10,C,H,C-H,1.104271497413568
4700,1,2,H,C,C-H,1.104936857924471
4700,2,3,C,O,C-O,1.2273603586559243
4700,2,4,C,O,C-O,1.335509314830863
4700,4,5,O,H,O-H,1.035565174192335
4700,6,7,H,O,O-H,0.9587564080620267
4700,7,8,O,C,C-O,1.3634071218825305
4700,8,9,C,O,C-O,1.243785998474015
4700,8,10,C,H,C-H,1.1320928495490103
4800,1,2,H,C,C-H,1.1649707206621127
4800,2,3,C,O,C-O,1.2523356818361424
4800,2,4,C,O,C-O,1.3472593291567896
4800,4,5,O,H,O-H,0.9879063214698036
4800,6,7,H,O,O-H,1.0499261974062735
4800,7,8,O,C,C-O,1.345407068511236
4800,8,9,C,O,C-O,1.2487271279186662
4800,8,10,C,H,C-H,1.1001552345010237
4900,1,2,H,C,C-H,1.0747566608307202
4900,2,3,C,O,C-O,1.2506330636921439
4900,2,4,C,O,C-O,1.346786118877084
4900,4,5,O,H,O-H,1.0575412663343207
4900,6,7,H,O,O-H,1.0657675215543012
4900,7,8,O,C,C-O,1.3041418404452794
4900,8,9,C,O,C-O,1.2448555056712423
4900,8,10,C,H,C-H,1.1550834212298269
5000,1,2,H,C,C-H,1.1768761956977465
5000,2,3,C,O,C-O,1.2467089195156988
5000,2,4,C,O,C-O,1.3517190610478202
5000,4,5,O,H,O-H,1.0443079526653058
5000,6,7,H,O,O-H,1.0694487598758529
5000,7,8,O,C,C-O,1.3073846564802587
5000,8,9,C,O,C-O,1.2359982726525152
5000,8,10,C,H,C-H,1.08884150361749
5100,1,2,H,C,C-H,1.102034105642834
5100,2,3,C,O,C-O,1.2380711166972582
5100,2,4,C,O,C-O,1.3497927729840604
5100,4,5,O,H,O-H,1.0611919430527168
5100,6,7,H,O,O-H,1.039756053120154
5100,7,8,O,C,C-O,1.337661724801902
5100,8,9,C,O,C-O,1.2294304128335203
5100,8,10,C,H,C-H,1.1616091511347537
5200,1,2,H,C,C-H,1.1376336053404892
5200,2,3,C,O,C-O,1.217402961225246
5200,2,4,C,O,C-O,1.31929110131161
5200,4,5,O,H,O-H,1.0375864542292366
5200,6,7,H,O,O-H,1.077053763746268
5200,7,8,O,C,C-O,1.3393913057803515
5200,8,9,C,O,C-O,1.243074515063356
5200,8,10,C,H,C-H,1.0874086858214824
5300,1,2,H,C,C-H,1.1333562458468236
5300,2,3,C,O,C-O,1.2345150505360387
5300,2,4,C,O,C-O,1.287634299791675
5300,4,5,O,H,O-H,1.0188477413235015
5300,6,7,H,O,O-H,1.0361169480324113
5300,7,8,O,C,C-O,1.3311958007746254
5300,8,9,C,O,C-O,1.2358538101248076
5300,8,10,C,H,C-H,1.1610063651849618
5400,1,2,H,C,C-H,1.1093349629395095
5400,2,3,C,O,C-O,1.2317043598201645
5400,2,4,C,O,C-O,1.298743812304798
5400,4,5,O,H,O-H,1.0646177201230502
5400,6,7,H,O,O-H,1.0293113328823307
5400,7,8,O,C,C-O,1.3182222308852187
5400,8,9,C,O,C-O,1.2449685176742402
5400,8,10,C,H,C-H,1.0865696710289694
5500,1,2,H,C,C-H,1.152746528947278
5500,2,3,C,O,C-O,1.2437713455454744
5500,2,4,C,O,C-O,1.3039806210216487
5500,4,5,O,H,O-H,1.0440589734301404
5500,6,7,H,O,O-H,1.0284741173213832
5500,7,8,O,C,C-O,1.3018448064189512
5500,8,9,C,O,C-O,1.2477495501902611
5500,8,10,C,H,C-H,1.1467016264050562
5600,1,2,H,C,C-H,1.0662731826319163
5600,2,3,C,O,C-O,1.2355150100261814
5600,2,4,C,O,C-O,1.3266891610320803
5600,4,5,O,H,O-H,0.9943939913334144
5600,6,7,H,O,O-H,1.0029833797227146
5600,7,8,O,C,C-O,1.303473551707129
5600,8,9,C,O,C-O,1.230292262025571
5600,8,10,C,H,C-H,1.1072552822181536
5700,1,2,H,C,C-H,1.1849042577356201
5700,2,3,C,O,C-O,1.205313614790772
5700,2,4,C,O,C-O,1.3253342069078264
5700,4,5,O,H,O-H,1.0471601071469432
5700,6,7,H,O,O-H,1.0089618278210528
5700,7,8,O,C,C-O,1.2716425795010193
5700,8,9,C,O,C-O,1.2247765918729814
5700,8,10,C,H,C-H,1.1149345675868159
5800,1,2,H,C,C-H,1.096287799804413
5800,2,3,C,O,C-O,1.2206924797015828
5800,2,4,C,O,C-O,1.3040928072802178
5800,4,5,O,H,O-H,1.0419577246702483
5800,6,7,H,O,O-H,1.0201361624802823
5800,7,8,O,C,C-O,1.286171314405667
5800,8,9,C,O,C-O,1.2146673536404933
5800,8,10,C,H,C-H,1.147120364216414
5900,1,2,H,C,C-H,1.1231573042098768
5900,2,3,C,O,C-O,1.2315946532849182
5900,2,4,C,O,C-O,1.280827396646402
5900,4,5,O,H,O-H,1.0360610454987689
5900,6,7,H,O,O-H,1.0378485727696518
5900,7,8,O,C,C-O,1.3326454329640716
5900,8,9,C,O,C-O,1.2340339582037443
5900,8,10,C,H,C-H,1.0923134348711452
6000,1,2,H,C,C-H,1.1656408623585561
6000,2,3,C,O,C-O,1.2125778284299922
6000,2,4,C,O,C-O,1.2525268100923028
6000,4,5,O,H,O-H,1.068681084327781
6000,6,7,H,O,O-H,1.005695644815071
6000,7,8,O,C,C-O,1.3411831865930917
6000,8,9,C,O,C-O,1.2415007168745416
6000,8,10,C,H,C-H,1.1636865815158304
6100,1,2,H,C,C-H,1.08501806897397
6100,2,3,C,O,C-O,1.2421792946269885
6100,2,4,C,O,C-O,1.249404954368278
6100,4,5,O,H,O-H,1.0606937588201422
6100,6,7,H,O,O-H,1.0622474146826624
6100,7,8,O,C,C-O,1.3225738882950944
6100,8,9,C,O,C-O,1.2604233296793572
6100,8,10,C,H,C-H,1.06722998927129
6200,1,2,H,C,C-H,1.1620903794455897
6200,2,3,C,O,C-O,1.2397591943599373
6200,2,4,C,O,C-O,1.2975725567381595
6200,4,5,O,H,O-H,1.0199546166374267
6200,6,7,H,O,O-H,1.0306651929700545
6200,7,8,O,C,C-O,1.3356737850238736
6200,8,9,C,O,C-O,1.2424152808139468
6200,8,10,C,H,C-H,1.16209373546199
6300,1,2,H,C,C-H,1.089622324477615
6300,2,3,C,O,C-O,1.2441903110055152
6300,2,4,C,O,C-O,1.3361560125973322
6300,4,5,O,H,O-H,1.002210686432747
6300,6,7,H,O,O-H,0.9941759502220909
6300,7,8,O,C,C-O,1.3113599238958003
6300,8,9,C,O,C-O,1.2454186525020414
6300,8,10,C,H,C-H,1.0863662365887505
6400,1,2,H,C,C-H,1.150186893509051
6400,2,3,C,O,C-O,1.2468051571917729
6400,2,4,C,O,C-O,1.3356214733224379
6400,4,5,O,H,O-H,1.046082013993168
6400,6,7,H,O,O-H,1.0472276065879857
6400,7,8,O,C,C-O,1.2927927405427382
6400,8,9,C,O,C-O,1.2247033355061951
